Localshopping platform name,URL,Aktiv,Location,"Fulfils
Definition ",Typ,Stadtplattform  ,Zielländer,Alter Plattform,number of retailers,Typology,Lat,Lng
Like Lippstadt,https://www.like-lippstadt.de/,Ja,Lippstadt,Ja,Generalist,Ja,Deutschland,,180,1,51.6747074,8.347194
Alstertal Einkaufszentrum,https://digitalmall.alstertal-einkaufszentrum.de/,Ja,Hamburg,Ja,Generalist,Nein,Deutschland,4,223,5,53.550341,10.000654
Kaufhaus Lüneburg,https://www.shop-lueneburg.de/,Ja,Luenenburg,Nein,Generalist,Nein,Deutschland,6,18,5,53.248706,10.407855
LudwigsLust,https://www.einkaufslust.de/,Ja,Ludwigslust,Ja,Generalist,Nein,Deutschland,,32,1,53.3300229,11.4993644
Mein Rheda-Wiedenbrück,https://www.mein-rhwd.de/,Ja,Rheda-Wiedenbrück,Ja,Generalist,Ja,Deutschland,,337,1,#N/A,#N/A
Minden Marketing GmbH,https://minden-erleben.marktplatz-digital.de/?,Ja,Minden,Ja,Generalist,Nein,Deutschland,7,128,2,52.2881045,8.9168852
Bauern in Wuppertal,http://bauern-in-wuppertal.de/suchergebnis.php?action=prodtree&id=29,Ja,Wuppertal,Ja,Specialist,Nein,Deutschland,,19,1,51.264018,7.1780374
Diepholz bei ebay,https://verkaeuferportal.ebay.de/diepholz-bei-ebay,Ja,Diepholz,Nein,Generalist,Nein,Deutschland,4,14,5,52.6113677,8.372661
Altötting Shop,http://angebote.altoetting-shop.de/index.html,Ja,Altötting,Ja,Generalist,Nein,Deutschland,6,69,3,#N/A,#N/A
Lokalschatz,https://www.lokalschatz.de/,Ja,Pforzheim,Ja,Generalist,Nein,Deutschland,4,38,1,48.8908846,8.7029532
Shopping Vest,https://www.shopping-vest.de/,Ja,Recklinghausen,Ja,Generalist,Nein,Deutschland,,51,3,51.6143815,7.1978546
Hallo Altmark,https://www.halloaltmark.de/,Ja,Altmark,Ja,Generalist,Nein,Deutschland,1,39,3,52.6867305,11.5401518
Klick Schleswig Holstein,https://klick.sh/haendler/,Ja,Schleswig Holstein,Ja,Generalist,Nein,Deutschland,5,848,1,54.1853998,9.8220089
Hamm erleben,https://www.hamm-erleben.de/shoppen,Ja,Hamm,Ja,Generalist,Nein,Deutschland,,30,1,51.6804093,7.815197
Dein Kempen,https://www.deinkempen.de/,Ja,Kempen,Nein,Generalist,Nein,Deutschland,,25,5,51.3642126,6.4195011
